id,complex_order_id,t,p,q
9525043_22_15,9525043,22,1000.0,14.2
9525043_23_2,9525043,23,96.56,19.2
9525043_23_3,9525043,23,98.15,19.2
9525043_23_4,9525043,23,99.75,19.2
9525043_23_5,9525043,23,101.35,19.2
9525043_23_6,9525043,23,102.95,19.2
9525043_23_7,9525043,23,104.55,19.2
9525043_23_8,9525043,23,106.15,19.2
9525043_23_9,9525043,23,107.74,19.2
9525043_23_10,9525043,23,109.34,19.2
9525043_23_11,9525043,23,110.94,19.2
9525043_23_12,9525043,23,112.54,19.2
9525043_23_13,9525043,23,114.14,19.2
9525043_23_14,9525043,23,115.77,13.3
9525043_23_15,9525043,23,1000.0,12.3
9525043_24_15,9525043,24,1000.0,371.0
9525045_1_15,9525045,1,1000.0,395.6
9525045_2_15,9525045,2,1000.0,395.6
9525045_3_15,9525045,3,1000.0,395.6
9525045_4_15,9525045,4,1000.0,395.6
9525045_5_15,9525045,5,1000.0,395.6
9525045_6_15,9525045,6,1000.0,395.6
9525045_7_15,9525045,7,1000.0,395.6
9525045_8_15,9525045,8,1000.0,395.6
9525045_9_15,9525045,9,1000.0,395.6
9525045_10_15,9525045,10,1000.0,395.6
9525045_11_15,9525045,11,1000.0,395.6
9525045_12_15,9525045,12,1000.0,395.6
9525045_13_15,9525045,13,1000.0,395.6
9525045_14_15,9525045,14,1000.0,395.6
9525045_15_15,9525045,15,1000.0,395.6
9525045_16_15,9525045,16,1000.0,395.6
9525045_17_15,9525045,17,1000.0,395.6
9525045_18_15,9525045,18,1000.0,395.6
9525045_19_15,9525045,19,1000.0,391.4
9525045_20_2,9525045,20,92.92,17.7
9525045_20_15,9525045,20,1000.0,227.6
9525045_21_2,9525045,21,92.92,18.3
9525045_21_3,9525045,21,94.64,18.3
9525045_21_4,9525045,21,96.35,18.3
9525045_21_5,9525045,21,98.06,18.3
9525045_21_6,9525045,21,99.77,18.3
9525045_21_7,9525045,21,101.48,18.3
9525045_21_8,9525045,21,103.2,18.3
9525045_21_9,9525045,21,104.91,18.3
9525045_21_10,9525045,21,106.62,18.3
9525045_21_11,9525045,21,108.33,18.3
9525045_21_12,9525045,21,110.04,6.7
9525045_21_15,9525045,21,1000.0,55.6
9525045_22_2,9525045,22,92.92,18.3
9525045_22_3,9525045,22,94.64,18.3
9525045_22_4,9525045,22,96.35,18.3
9525045_22_5,9525045,22,98.06,18.3
9525045_22_6,9525045,22,99.77,18.3
9525045_22_7,9525045,22,101.48,18.3
9525045_22_8,9525045,22,103.2,18.3
9525045_22_9,9525045,22,104.91,18.3
9525045_22_10,9525045,22,106.62,18.3
9525045_22_11,9525045,22,108.33,18.3
9525045_22_12,9525045,22,110.04,6.7
9525045_22_15,9525045,22,1000.0,55.6
9525045_23_2,9525045,23,92.92,18.3
9525045_23_3,9525045,23,94.64,18.3
9525045_23_4,9525045,23,96.35,18.3
9525045_23_5,9525045,23,98.06,18.3
9525045_23_6,9525045,23,99.77,18.3
9525045_23_7,9525045,23,101.48,18.3
9525045_23_8,9525045,23,103.2,18.3
9525045_23_9,9525045,23,104.91,18.3
9525045_23_10,9525045,23,106.62,18.3
9525045_23_11,9525045,23,108.33,18.3
9525045_23_12,9525045,23,110.04,6.7
9525045_23_15,9525045,23,1000.0,55.6
9525045_24_15,9525045,24,1000.0,345.6
9525046_1_15,9525046,1,1000.0,397.8
9525046_2_15,9525046,2,1000.0,397.8
9525046_3_15,9525046,3,1000.0,397.8
9525046_4_15,9525046,4,1000.0,397.8
9525046_5_15,9525046,5,1000.0,397.8
9525046_6_15,9525046,6,1000.0,397.8
9525046_7_15,9525046,7,1000.0,397.8
9525046_8_15,9525046,8,1000.0,397.8
9525046_9_15,9525046,9,1000.0,397.8
9525046_10_15,9525046,10,1000.0,397.8
9525046_11_15,9525046,11,1000.0,397.8
9525046_12_15,9525046,12,1000.0,397.8
9525046_13_15,9525046,13,1000.0,397.8
9525046_14_15,9525046,14,1000.0,397.8
9525046_15_15,9525046,15,1000.0,371.1
9525046_16_15,9525046,16,1000.0,323.8
9525046_17_15,9525046,17,1000.0,322.7
9525046_18_15,9525046,18,1000.0,322.2
9525046_19_15,9525046,19,1000.0,208.3
9525046_20_2,9525046,20,95.01,15.4
9525046_20_3,9525046,20,96.36,15.4
9525046_20_4,9525046,20,97.7,15.4
9525046_20_5,9525046,20,99.05,15.4
9525046_20_6,9525046,20,100.39,15.4
9525046_20_7,9525046,20,101.74,15.4
9525046_20_8,9525046,20,103.08,15.4
9525046_20_9,9525046,20,104.43,15.4
9525046_20_10,9525046,20,105.77,15.4
9525046_20_11,9525046,20,107.12,11.4
9525046_20_15,9525046,20,1000.0,57.8
9525046_21_2,9525046,21,95.01,15.4
9525046_21_3,9525046,21,96.36,15.4
9525046_21_4,9525046,21,97.7,15.4
9525046_21_5,9525046,21,99.05,15.4
9525046_21_6,9525046,21,100.39,15.4
9525046_21_7,9525046,21,101.74,15.4
9525046_21_8,9525046,21,103.08,15.4
9525046_21_9,9525046,21,104.43,15.4
9525046_21_10,9525046,21,105.77,15.4
9525046_21_11,9525046,21,107.12,11.4
9525046_21_15,9525046,21,1000.0,57.8
9525046_22_2,9525046,22,95.01,15.4
9525046_22_3,9525046,22,96.36,15.4
9525046_22_4,9525046,22,97.7,15.4
9525046_22_5,9525046,22,99.05,15.4
9525046_22_6,9525046,22,100.39,15.4
9525046_22_7,9525046,22,101.74,15.4
9525046_22_8,9525046,22,103.08,15.4
9525046_22_9,9525046,22,104.43,15.4
9525046_22_10,9525046,22,105.77,15.4
9525046_22_11,9525046,22,107.12,11.4
9525046_22_15,9525046,22,1000.0,57.8
9525046_23_2,9525046,23,95.01,15.4
9525046_23_3,9525046,23,96.36,15.4
9525046_23_4,9525046,23,97.7,15.4
9525046_23_5,9525046,23,99.05,15.4
9525046_23_6,9525046,23,100.39,15.4
9525046_23_7,9525046,23,101.74,15.4
9525046_23_8,9525046,23,103.08,15.4
9525046_23_9,9525046,23,104.43,15.4
9525046_23_10,9525046,23,105.77,15.4
9525046_23_11,9525046,23,107.12,11.4
9525046_23_15,9525046,23,1000.0,57.8
9525046_24_15,9525046,24,1000.0,347.8
9525048_1_15,9525048,1,1000.0,444.5
9525048_2_15,9525048,2,1000.0,444.5
9525048_3_15,9525048,3,1000.0,444.5
9525048_4_15,9525048,4,1000.0,444.5
9525048_5_15,9525048,5,1000.0,444.5
9525048_6_15,9525048,6,1000.0,444.5
9525048_7_15,9525048,7,1000.0,444.5
9525048_8_15,9525048,8,1000.0,444.5
9525048_9_15,9525048,9,1000.0,444.5
9525048_10_15,9525048,10,1000.0,444.5
9525048_11_15,9525048,11,1000.0,444.5
9525048_12_15,9525048,12,1000.0,444.5
9525048_13_15,9525048,13,1000.0,444.5
9525048_14_15,9525048,14,1000.0,444.5
9525048_15_15,9525048,15,1000.0,444.5
9525048_16_15,9525048,16,1000.0,444.5
9525048_17_15,9525048,17,1000.0,444.5
9525048_18_15,9525048,18,1000.0,444.5
9525048_19_15,9525048,19,1000.0,419.3
9525048_20_2,9525048,20,97.53,10.2
9525048_20_15,9525048,20,1000.0,264.3
9525048_21_2,9525048,21,97.53,20.1
9525048_21_3,9525048,21,98.32,20.1
9525048_21_4,9525048,21,99.11,20.1
9525048_21_5,9525048,21,99.9,20.1
9525048_21_6,9525048,21,100.69,20.1
9525048_21_7,9525048,21,101.48,20.1
9525048_21_8,9525048,21,102.27,20.1
9525048_21_9,9525048,21,103.06,20.1
9525048_21_10,9525048,21,103.85,20.1
9525048_21_11,9525048,21,104.64,20.1
9525048_21_12,9525048,21,105.42,20.1
9525048_21_13,9525048,21,106.21,20.1
9525048_21_14,9525048,21,107.01,2.5
9525048_21_15,9525048,21,1000.0,30.8
9525048_22_2,9525048,22,97.53,20.1
9525048_22_3,9525048,22,98.32,20.1
9525048_22_4,9525048,22,99.11,20.1
9525048_22_5,9525048,22,99.9,20.1
9525048_22_6,9525048,22,100.69,20.1
9525048_22_7,9525048,22,101.48,20.1
9525048_22_8,9525048,22,102.27,20.1
9525048_22_9,9525048,22,103.06,20.1
9525048_22_10,9525048,22,103.85,20.1
9525048_22_11,9525048,22,104.64,20.1
9525048_22_12,9525048,22,105.42,20.1
9525048_22_13,9525048,22,106.21,20.1
9525048_22_14,9525048,22,107.01,2.8
9525048_22_15,9525048,22,1000.0,30.5
9525048_23_2,9525048,23,97.53,20.1
9525048_23_3,9525048,23,98.32,20.1
9525048_23_4,9525048,23,99.11,20.1
9525048_23_5,9525048,23,99.9,20.1
9525048_23_6,9525048,23,100.69,20.1
9525048_23_7,9525048,23,101.48,20.1
9525048_23_8,9525048,23,102.27,20.1
9525048_23_9,9525048,23,103.06,20.1
9525048_23_10,9525048,23,103.85,20.1
9525048_23_11,9525048,23,104.64,20.1
9525048_23_12,9525048,23,105.42,20.1
9525048_23_13,9525048,23,106.21,20.1
9525048_23_14,9525048,23,107.01,3.6
9525048_23_15,9525048,23,1000.0,29.7
9525048_24_15,9525048,24,1000.0,394.5
9525050_1_15,9525050,1,1000.0,417.3
9525050_2_15,9525050,2,1000.0,417.3
9525050_3_15,9525050,3,1000.0,417.3
9525050_4_15,9525050,4,1000.0,417.3
9525050_5_15,9525050,5,1000.0,417.3
9525050_6_15,9525050,6,1000.0,417.3
9525050_7_15,9525050,7,1000.0,417.3
9525050_8_15,9525050,8,1000.0,417.3
9525050_9_15,9525050,9,1000.0,417.3
9525050_10_15,9525050,10,1000.0,417.3
9525050_11_15,9525050,11,1000.0,417.3
9525050_12_15,9525050,12,1000.0,417.3
9525050_13_15,9525050,13,1000.0,417.3
9525050_14_15,9525050,14,1000.0,417.3
9525050_15_15,9525050,15,1000.0,417.3
9525050_16_15,9525050,16,1000.0,417.3
9525050_17_15,9525050,17,1000.0,417.3
9525050_18_15,9525050,18,1000.0,417.3
9525050_19_15,9525050,19,1000.0,383.6
9525050_20_2,9525050,20,88.24,19.5
9525050_20_3,9525050,20,90.71,7.5
9525050_20_15,9525050,20,1000.0,235.3
9525050_21_2,9525050,21,88.24,19.5
9525050_21_3,9525050,21,90.71,19.5
9525050_21_4,9525050,21,93.19,19.5
9525050_21_5,9525050,21,95.66,19.5
9525050_21_6,9525050,21,98.14,19.5
9525050_21_7,9525050,21,100.61,19.5
9525050_21_8,9525050,21,103.08,19.5
9525050_21_9,9525050,21,105.56,19.5
9525050_21_10,9525050,21,108.03,19.5
9525050_21_11,9525050,21,110.51,19.5
9525050_21_12,9525050,21,112.98,19.5
9525050_21_13,9525050,21,115.46,19.5
9525050_21_14,9525050,21,118.01,3.1
9525050_21_15,9525050,21,1000.0,25.2
9525050_22_2,9525050,22,88.24,19.5
9525050_22_3,9525050,22,90.71,19.5
9525050_22_4,9525050,22,93.19,19.5
9525050_22_5,9525050,22,95.66,19.5
9525050_22_6,9525050,22,98.14,19.5
9525050_22_7,9525050,22,100.61,19.5
9525050_22_8,9525050,22,103.08,19.5
9525050_22_9,9525050,22,105.56,19.5
9525050_22_10,9525050,22,108.03,19.5
9525050_22_11,9525050,22,110.51,19.5
9525050_22_12,9525050,22,112.98,19.5
9525050_22_13,9525050,22,115.46,19.5
9525050_22_14,9525050,22,118.01,5.6
9525050_22_15,9525050,22,1000.0,22.7
9525050_23_2,9525050,23,88.24,19.5
9525050_23_3,9525050,23,90.71,19.5
9525050_23_4,9525050,23,93.19,19.5
9525050_23_5,9525050,23,95.66,19.5
9525050_23_6,9525050,23,98.14,19.5
9525050_23_7,9525050,23,100.61,19.5
9525050_23_8,9525050,23,103.08,19.5
9525050_23_9,9525050,23,105.56,19.5
9525050_23_10,9525050,23,108.03,19.5
9525050_23_11,9525050,23,110.51,19.5
9525050_23_12,9525050,23,112.98,19.5
9525050_23_13,9525050,23,115.46,19.5
9525050_23_14,9525050,23,118.01,7.6
9525050_23_15,9525050,23,1000.0,20.7
9525050_24_15,9525050,24,1000.0,367.3
9525051_1_15,9525051,1,1000.0,419.6
9525051_2_15,9525051,2,1000.0,419.6
9525051_3_15,9525051,3,1000.0,419.6
9525051_4_15,9525051,4,1000.0,419.6
9525051_5_15,9525051,5,1000.0,419.6
