DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
18/03/2025,1,MI,,C,1.9,250.0,O
18/03/2025,1,MI,,C,0.8,250.0,O
18/03/2025,1,MI,,C,3.4,250.0,O
18/03/2025,1,MI,,C,1.4,250.0,O
18/03/2025,1,MI,,C,13.9,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,0.6,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,0.2,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,20.3,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,0.9,250.0,O
18/03/2025,1,MI,,C,1.0,250.0,O
18/03/2025,1,MI,,C,0.7,250.0,O
18/03/2025,1,MI,,C,0.3,250.0,O
18/03/2025,1,MI,,C,4.7,250.0,O
18/03/2025,1,MI,,C,1.7,250.0,O
18/03/2025,1,MI,,C,1.6,250.0,O
18/03/2025,1,MI,,C,5.9,250.0,O
18/03/2025,1,MI,,C,0.1,250.0,O
18/03/2025,1,MI,,C,1.2,250.0,O
18/03/2025,1,MI,,C,1.4,250.0,O
18/03/2025,1,MI,,C,1.2,250.0,O
18/03/2025,1,MI,,C,0.2,245.0,O
18/03/2025,1,MI,,C,0.4,245.0,O
18/03/2025,1,MI,,C,10.7,242.0,O
18/03/2025,1,MI,,C,12.8,240.0,O
18/03/2025,1,MI,,C,5.5,240.0,O
18/03/2025,1,MI,,C,8.1,235.0,O
18/03/2025,1,MI,,C,0.5,235.0,O
18/03/2025,1,MI,,C,31.0,231.0,O
18/03/2025,1,MI,,C,0.1,230.0,O
18/03/2025,1,MI,,C,147.2,226.12,O
18/03/2025,1,MI,,C,31.1,225.0,O
18/03/2025,1,MI,,C,31.2,225.0,O
18/03/2025,1,MI,,C,1.4,220.0,O
18/03/2025,1,MI,,C,0.3,220.0,O
18/03/2025,1,MI,,C,0.1,220.0,O
18/03/2025,1,MI,,C,0.3,220.0,O
18/03/2025,1,MI,,C,1.6,220.0,O
18/03/2025,1,MI,,C,0.4,220.0,O
18/03/2025,1,MI,,C,0.4,220.0,O
18/03/2025,1,MI,,C,0.3,220.0,O
18/03/2025,1,MI,,C,0.4,220.0,O
18/03/2025,1,MI,,C,0.1,210.0,O
18/03/2025,1,MI,,C,1.3,210.0,O
18/03/2025,1,MI,,C,0.5,210.0,O
18/03/2025,1,MI,,C,0.2,210.0,O
18/03/2025,1,MI,,C,0.4,205.8,O
18/03/2025,1,MI,,C,7.4,200.01,O
18/03/2025,1,MI,,C,0.3,200.0,O
18/03/2025,1,MI,,C,0.8,200.0,O
18/03/2025,1,MI,,C,0.3,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,0.9,200.0,O
18/03/2025,1,MI,,C,0.7,200.0,O
18/03/2025,1,MI,,C,0.2,200.0,O
18/03/2025,1,MI,,C,3.5,200.0,O
18/03/2025,1,MI,,C,0.4,200.0,O
18/03/2025,1,MI,,C,2.6,200.0,O
18/03/2025,1,MI,,C,7.9,200.0,O
18/03/2025,1,MI,,C,1.8,200.0,O
18/03/2025,1,MI,,C,2.0,200.0,O
18/03/2025,1,MI,,C,1.3,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,0.2,200.0,O
18/03/2025,1,MI,,C,0.2,200.0,O
18/03/2025,1,MI,,C,0.3,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,2.6,200.0,O
18/03/2025,1,MI,,C,0.8,200.0,O
18/03/2025,1,MI,,C,1.1,200.0,O
18/03/2025,1,MI,,C,0.6,200.0,O
18/03/2025,1,MI,,C,0.5,200.0,O
18/03/2025,1,MI,,C,0.6,200.0,O
18/03/2025,1,MI,,C,0.7,200.0,O
18/03/2025,1,MI,,C,0.4,200.0,O
18/03/2025,1,MI,,C,0.2,200.0,O
18/03/2025,1,MI,,C,0.2,200.0,O
18/03/2025,1,MI,,C,0.6,200.0,O
18/03/2025,1,MI,,C,0.4,200.0,O
18/03/2025,1,MI,,C,8.3,200.0,O
18/03/2025,1,MI,,C,0.4,200.0,O
18/03/2025,1,MI,,C,41.7,200.0,O
18/03/2025,1,MI,,C,2.3,200.0,O
18/03/2025,1,MI,,C,0.1,200.0,O
18/03/2025,1,MI,,C,1.0,200.0,O
18/03/2025,1,MI,,C,67.4,196.12,O
18/03/2025,1,MI,,C,100.0,196.12,O
18/03/2025,1,MI,,C,100.0,196.12,O
18/03/2025,1,MI,,C,75.0,191.12,O
18/03/2025,1,MI,,C,75.0,191.12,O
18/03/2025,1,MI,,C,2.1,191.1,O
18/03/2025,1,MI,,C,1.9,191.1,O
18/03/2025,1,MI,,C,0.4,191.1,O
18/03/2025,1,MI,,C,0.1,191.1,O
18/03/2025,1,MI,,C,0.6,191.1,O
18/03/2025,1,MI,,C,7.5,191.1,O
18/03/2025,1,MI,,C,0.5,191.1,O
18/03/2025,1,MI,,C,0.9,191.1,O
18/03/2025,1,MI,,C,0.8,191.1,O
18/03/2025,1,MI,,C,3.0,191.1,O
18/03/2025,1,MI,,C,36.4,191.1,O
18/03/2025,1,MI,,C,0.1,191.1,O
18/03/2025,1,MI,,C,3.4,191.1,O
18/03/2025,1,MI,,C,6.6,191.1,O
18/03/2025,1,MI,,C,2.2,191.1,O
18/03/2025,1,MI,,C,1.3,191.1,O
18/03/2025,1,MI,,C,1.0,190.0,O
18/03/2025,1,MI,,C,60.0,186.12,O
18/03/2025,1,MI,,C,17.7,186.12,O
18/03/2025,1,MI,,C,0.6,185.0,O
18/03/2025,1,MI,,C,40.0,181.12,O
18/03/2025,1,MI,,C,0.8,180.0,O
18/03/2025,1,MI,,C,5.0,180.0,O
18/03/2025,1,MI,,C,3.0,180.0,O
18/03/2025,1,MI,,C,0.1,180.0,O
18/03/2025,1,MI,,C,0.1,180.0,O
18/03/2025,1,MI,,C,0.8,180.0,O
18/03/2025,1,MI,,C,0.4,180.0,O
18/03/2025,1,MI,,C,3.4,180.0,O
18/03/2025,1,MI,,C,2.1,180.0,O
18/03/2025,1,MI,,C,4.7,180.0,O
18/03/2025,1,MI,,C,4.1,180.0,O
18/03/2025,1,MI,,C,20.7,180.0,O
18/03/2025,1,MI,,C,1.4,180.0,O
18/03/2025,1,MI,,C,0.3,180.0,O
18/03/2025,1,MI,,C,38.9,180.0,O
18/03/2025,1,MI,,C,15.0,176.12,O
18/03/2025,1,MI,,C,0.9,176.0,O
18/03/2025,1,MI,,C,2.0,175.0,O
18/03/2025,1,MI,,C,4.4,174.42,O
18/03/2025,1,MI,,C,0.3,171.0,O
18/03/2025,1,MI,,C,0.4,170.8,O
18/03/2025,1,MI,,C,0.1,170.8,O
18/03/2025,1,MI,,C,60.7,170.8,O
18/03/2025,1,MI,,C,44.4,170.0,O
18/03/2025,1,MI,,C,109.2,169.86,O
18/03/2025,1,MI,,C,62.6,169.86,O
18/03/2025,1,MI,,C,11.0,165.0,O
18/03/2025,1,MI,,C,24.4,160.0,O
18/03/2025,1,MI,,C,20.0,155.0,O
18/03/2025,1,MI,,C,1.1,151.0,O
18/03/2025,1,MI,,C,41.2,150.0,O
18/03/2025,1,MI,,C,3.7,150.0,O
18/03/2025,1,MI,,C,0.8,150.0,O
18/03/2025,1,MI,,C,8.0,150.0,O
18/03/2025,1,MI,,C,15.1,150.0,O
18/03/2025,1,MI,,C,26.3,150.0,O
18/03/2025,1,MI,,C,0.5,150.0,O
18/03/2025,1,MI,,C,13.6,150.0,O
